	Вакансия	Ссылка	Мин. з/п	Макс. з/п	Валюта	Источник
34	Продавец в аккумуляторный магазин	https://hh.ru/vacancy/42886525?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		51500	RUB	https://hh.ru/
35	Продавец-консультант	https://hh.ru/vacancy/42977359?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
36	Продавец-консультант	https://hh.ru/vacancy/42359926?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	50000	100000	RUB	https://hh.ru/
37	Продавец-кассир	https://hh.ru/vacancy/42511828?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
38	Продавец-консультант (ул. Калинина)	https://hh.ru/vacancy/41198280?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
39	Продавец-консультант; Кассир.	https://hh.ru/vacancy/41756603?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	1500000	4000000		https://hh.ru/
40	Продавец-консультант	https://hh.ru/vacancy/37005434?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		80000	RUB	https://hh.ru/
41	Продавец-кассир	https://hh.ru/vacancy/42512227?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
42	Продавец-консультант в магазин РТИ	https://hh.ru/vacancy/42620993?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		27000	RUB	https://hh.ru/
43	Продавец-консультант	https://hh.ru/vacancy/40729524?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	52000	104000	RUB	https://hh.ru/
44	Продавец-консультант	https://hh.ru/vacancy/38695983?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		50000	RUB	https://hh.ru/
45	Продавец-кассир	https://hh.ru/vacancy/42868723?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	65000	RUB	https://hh.ru/
46	Продавец (Москва)	https://hh.ru/vacancy/42971979?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		38000	RUB	https://hh.ru/
47	Продавец-консультант	https://hh.ru/vacancy/37323951?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		700		https://hh.ru/
48	Продавец-консультант (ТЦ Славич)	https://hh.ru/vacancy/41733767?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	52000	104000	RUB	https://hh.ru/
49	Продавец-консультант (ТЦ Мини Молл)	https://hh.ru/vacancy/42451096?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	52000	104000	RUB	https://hh.ru/
50	Продавец	https://hhcdn.ru/click?b=203567&place=35	16500	21000	RUB	https://hh.ru/
51	"Продавец-консультант товаров для дома (ТЦ ""Град"")"	https://hh.ru/vacancy/40978001?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		27000	RUB	https://hh.ru/
52	Продавец - кассир г.Красноярск	https://hh.ru/vacancy/41546573?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		22000	RUB	https://hh.ru/
53	Продавец-консультант (ТЦ Космопорт )	https://hh.ru/vacancy/39124320?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
54	"Продавец-консультант (ТРЦ ""Солнечный"")"	https://hh.ru/vacancy/42708524?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	44700	56500	RUB	https://hh.ru/
55	Продавец-кассир в кофейне	https://hh.ru/vacancy/42898941?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
56	Продавец-консультант	https://hh.ru/vacancy/41727686?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	50000	RUB	https://hh.ru/
57	Продавец-консультант	https://hh.ru/vacancy/37861655?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
58	Продавец-кассир	https://hh.ru/vacancy/42512223?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
59	Продавец-консультант	https://hh.ru/vacancy/38794740?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
60	Продавец кассир ( м.Гостиный двор)	https://hh.ru/vacancy/42912603?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	39000	RUB	https://hh.ru/
61	Продавец-консультант (ТЦ Нева)	https://hh.ru/vacancy/42868084?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	52000	104000	RUB	https://hh.ru/
62	Продавец-консультант	https://hh.ru/vacancy/42459473?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
63	Продавец-консультант	https://hh.ru/vacancy/41441730?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35500	RUB	https://hh.ru/
64	Продавец-консультант (ТЦ Саяны)	https://hh.ru/vacancy/42095690?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	52000	104000	RUB	https://hh.ru/
65	Продавец-консультант	https://hh.ru/vacancy/37421263?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	36000	57000	RUB	https://hh.ru/
66	Продавец-консультант	https://hh.ru/vacancy/43010616?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		50000	RUB	https://hh.ru/
67	Продавец - консультант (г. Иркутск)	https://hh.ru/vacancy/37349113?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	38000	59000	RUB	https://hh.ru/
68	Продавец-консультант в Ароматный Мир	https://hh.ru/vacancy/42658735?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
69	Продавец-консультант (ТЦ Торговый квартал)	https://hh.ru/vacancy/40831315?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	50000	RUB	https://hh.ru/
70	Продавец - консультант (г. Сочи)	https://hh.ru/vacancy/37995580?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	52000	81000	RUB	https://hh.ru/
71	Продавец-консультант (м. Рыбацкое)	https://hh.ru/vacancy/41479407?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	60000	RUB	https://hh.ru/
72	Продавец	https://hh.ru/vacancy/42998038?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	53000	83000	RUB	https://hh.ru/
73	Продавец	https://hh.ru/vacancy/42969941?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	53000	83000	RUB	https://hh.ru/
74	Продавец-консультант	https://hh.ru/vacancy/42869954?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	90000	165000		https://hh.ru/
75	Продавец-консультант	https://hh.ru/vacancy/38700605?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
76	Продавец-консультант (Истра)	https://hh.ru/vacancy/40823346?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		63000	RUB	https://hh.ru/
77	Продавец-консультант	https://hh.ru/vacancy/42520647?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	8000	10000		https://hh.ru/
78	Продавец	https://hh.ru/vacancy/42884450?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	53000	83000	RUB	https://hh.ru/
79	Продавец - консультант (Пермь)	https://hh.ru/vacancy/37459017?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		37000	RUB	https://hh.ru/
80	Продавец-консультант	https://hh.ru/vacancy/41888122?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		850		https://hh.ru/
81	Продавец-консультант	https://hh.ru/vacancy/37412417?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	55000	RUB	https://hh.ru/
82	Продавец-консультант (Королев, мкр Юбилейный)	https://hh.ru/vacancy/40981091?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		62000	RUB	https://hh.ru/
83	Продавец	https://hh.ru/vacancy/39613351?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	44000	56000	RUB	https://hh.ru/
84	Продавец - консультант (Белгород)	https://hh.ru/vacancy/37779537?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	33000	53000	RUB	https://hh.ru/
85	Продавец-консультант Love Republic (ТЦ Коллаж)	https://hh.ru/vacancy/42394014?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
86	Продавец-консультант	https://hh.ru/vacancy/42519308?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	10000	17000		https://hh.ru/
87	Продавец-консультант (Волгоград)	https://hh.ru/vacancy/37590176?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	36000	57000	RUB	https://hh.ru/
88	Продавец-консультант в салон связи	https://hh.ru/vacancy/37488229?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	48000	80000	RUB	https://hh.ru/
89	Продавец-кассир	https://hh.ru/vacancy/41959093?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	26400	39000	RUB	https://hh.ru/
90	Продавец-консультант	https://hh.ru/vacancy/38921559?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		42000	RUB	https://hh.ru/
91	Продавец - консультант (г. Южно-Сахалинск)	https://hh.ru/vacancy/38316107?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	50000	79000	RUB	https://hh.ru/
92	Продавец - консультант (Сергиев Посад)	https://hh.ru/vacancy/38153827?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		52000	RUB	https://hh.ru/
93	"Продавец-кассир SELA (ТЦ ""Макси"")"	https://hh.ru/vacancy/42967561?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
94	Продавец	https://hh.ru/vacancy/42910992?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	42000	51000	RUB	https://hh.ru/
95	Продавец-консультант	https://hh.ru/vacancy/41591540?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		38000	RUB	https://hh.ru/
96	"Продавец - консультант в салон связи ""МегаФон"" (мкр Черемушки)"	https://hh.ru/vacancy/42347463?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
97	Продавец-консультант в ТЦ Алмаз	https://hh.ru/vacancy/37875596?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
98	Продавец рыбной витрины	https://hh.ru/vacancy/42413245?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	45000	RUB	https://hh.ru/
99	Продавец-консультант в салон связи Изюм	https://hh.ru/vacancy/42700479?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
100	Продавец-консультант	https://hh.ru/vacancy/42522361?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	10000	17000		https://hh.ru/
101	Продавец	https://hh.ru/vacancy/41719075?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	28500	38500	RUB	https://hh.ru/
