	Вакансия	Ссылка	Мин. з/п	Макс. з/п	Валюта	Источник
513	Продавец-консультант	https://hh.ru/vacancy/42748154?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		50000	RUB	https://hh.ru/
514	Кассир-продавец	https://hh.ru/vacancy/40138610?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		44800	RUB	https://hh.ru/
515	"Продавец - консультант в зоомагазин ""Усатый - Полосатый"""	https://hh.ru/vacancy/42581056?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	40000	RUB	https://hh.ru/
516	Продавец	https://hh.ru/vacancy/42893640?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
517	Продавец-консультант	https://hh.ru/vacancy/42665625?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	45000	RUB	https://hh.ru/
518	Продавец-консультант	https://hh.ru/vacancy/41692811?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	100000	RUB	https://hh.ru/
519	Продавец-кассир	https://hh.ru/vacancy/42267857?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
520	Продавец-консультант	https://hh.ru/vacancy/42854019?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		37000	RUB	https://hh.ru/
521	Продавец-консультант	https://hh.ru/vacancy/42563604?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	50000	RUB	https://hh.ru/
522	Продавец	https://hh.ru/vacancy/42995707?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
523	Продавец-консультант	https://hh.ru/vacancy/42885708?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	20000	25000	RUB	https://hh.ru/
524	"Утренний продавец-кассир SELA (ст. м. Ленинский пр., Универмаг ""Нарвский"")"	https://hh.ru/vacancy/42960988?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
525	Продавец-консультант в магазин корейской косметики	https://hh.ru/vacancy/42960333?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
526	Продавец-кассир	https://hh.ru/vacancy/42964533?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30600	RUB	https://hh.ru/
527	Продавец на выкладку товара	https://hh.ru/vacancy/42909323?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	18000	22000	RUB	https://hh.ru/
528	Продавец-кассир, Белоозерский	https://hh.ru/vacancy/42917375?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
529	Продавец-кассир	https://hh.ru/vacancy/42919404?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		600		https://hh.ru/
530	Продавец	https://hh.ru/vacancy/42924686?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
531	Продавец	https://hh.ru/vacancy/42935225?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
532	Продавец (Мила/Брест)	https://hh.ru/vacancy/42954141?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	500	600		https://hh.ru/
533	Продавец	https://hh.ru/vacancy/42958338?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
534	Продавец-консультант	https://hh.ru/vacancy/42898810?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
535	Продавец-консультант, г.Мелеуз	https://hh.ru/vacancy/42928234?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		18000	RUB	https://hh.ru/
536	Продавец	https://hh.ru/vacancy/42986704?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
537	Продавец-эксперт ( ТЦ Универмаг )	https://hh.ru/vacancy/42927191?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
538	Продавец-консультант	https://hh.ru/vacancy/42982894?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	33000	80000	RUB	https://hh.ru/
539	Продавец-консультант	https://hh.ru/vacancy/42976698?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	15000	20000	RUB	https://hh.ru/
540	Продавец-кассир	https://hh.ru/vacancy/42875490?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
541	Продавец-эксперт (ТЦ Пассаж)	https://hh.ru/vacancy/42970110?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
542	Продавец	https://hh.ru/vacancy/42869558?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	40000	RUB	https://hh.ru/
543	Продавец	https://hh.ru/vacancy/42957211?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	18000	35000	RUB	https://hh.ru/
544	Продавец в интим магазин	https://hh.ru/vacancy/42859288?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	40000	RUB	https://hh.ru/
545	Продавец-универсал (г. Обнинск)	https://hh.ru/vacancy/42964870?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		45000	RUB	https://hh.ru/
546	Продавец-консультант	https://hh.ru/vacancy/42859125?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	45000	50000	RUB	https://hh.ru/
547	Продавец-кассир	https://hh.ru/vacancy/42908084?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		24000	RUB	https://hh.ru/
548	Продавец ( Хомутово )	https://hh.ru/vacancy/42862610?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
549	Продавец-консультант/Старший продавец-консультант	https://hh.ru/vacancy/43003623?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
550	Продавец-консультант	https://hh.ru/vacancy/42891661?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
551	Продавец в магазин разливных напитков (гор. Тобольск)	https://hh.ru/vacancy/42937077?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
552	Продавец-кассир	https://hh.ru/vacancy/43002586?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	23000	28000	RUB	https://hh.ru/
553	Продавец	https://hh.ru/vacancy/42892630?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
554	Кассир-продавец в магазин фурнитуры	https://hh.ru/vacancy/42880790?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
555	Продавец	https://hh.ru/vacancy/42890646?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
556	Продавец-кассир (МТВ Центр)	https://hh.ru/vacancy/42868312?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
557	Продавец-консультант	https://hh.ru/vacancy/42877292?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	50000	60000	RUB	https://hh.ru/
558	"Продавец-консультант (Железнодорожный район, Гипермаркет ""ОФИСМАГ"")"	https://hh.ru/vacancy/42981982?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	27500	30600	RUB	https://hh.ru/
559	Продавец-консультан, г. Могилев	https://hh.ru/vacancy/42919233?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
560	Продавец-консультант в Max Moda	https://hh.ru/vacancy/42970073?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
561	Продавец	https://hh.ru/vacancy/42998890?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	34135	46897	RUB	https://hh.ru/
562	Продавец оборудования	https://hh.ru/vacancy/42977125?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		27500	RUB	https://hh.ru/
563	Продавец	https://hh.ru/vacancy/43008015?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	18300	22000	RUB	https://hh.ru/
564	Продавец-кассир	https://hh.ru/vacancy/42859309?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		27000	RUB	https://hh.ru/
565	"Продавец-кассир ТРЦ ""Макси"""	https://hh.ru/vacancy/42892540?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	23000	26400	RUB	https://hh.ru/
566	Продавец	https://hh.ru/vacancy/43009384?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	20000	25000	RUB	https://hh.ru/
567	Продавец-кассир	https://hh.ru/vacancy/42890645?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	50000	RUB	https://hh.ru/
568	Продавец непродовольственных товаров	https://hh.ru/vacancy/42983109?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
569	Продавец-консультант (Уфа)	https://hh.ru/vacancy/42657761?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	50000	RUB	https://hh.ru/
570	Продавец-консультант	https://hh.ru/vacancy/42441650?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	70000	RUB	https://hh.ru/
571	Продавец-кассир	https://hh.ru/vacancy/42931370?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	50000	50000	RUB	https://hh.ru/
572	Продавец-консультант (г.Тверь)	https://hh.ru/vacancy/42837443?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	50000	RUB	https://hh.ru/
573	Продавец-кассир	https://hh.ru/vacancy/42907626?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		23000	RUB	https://hh.ru/
574	Продавец-кассир	https://hh.ru/vacancy/42487705?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		1000		https://hh.ru/
575	Продавец-кассир	https://hh.ru/vacancy/42671428?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		50000	RUB	https://hh.ru/
576	Продавец-консультант	https://hh.ru/vacancy/42927049?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
577	Продавец-консультант	https://hh.ru/vacancy/42446795?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		60000	RUB	https://hh.ru/
578	Продавец-консультант	https://hh.ru/vacancy/42830983?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
579	Продавец-брафиттер	https://hh.ru/vacancy/42820966?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	45000	RUB	https://hh.ru/
580	Продавец-консультант	https://hh.ru/vacancy/42913040?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		50000	RUB	https://hh.ru/
581	Продавец-консультант	https://hh.ru/vacancy/42757533?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	20000	35000	RUB	https://hh.ru/
582	Продавец-консультант (зоотовары)	https://hh.ru/vacancy/42852438?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
583	Продавец	https://hh.ru/vacancy/41036080?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		60000	RUB	https://hh.ru/
584	Продавец-консультант (г.Саратов)	https://hh.ru/vacancy/40722820?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		34000	RUB	https://hh.ru/
585	Продавец-консультант	https://hh.ru/vacancy/42920054?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	40000	RUB	https://hh.ru/
586	Продавец-консультант в фирменный салон Honor	https://hh.ru/vacancy/42568232?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		50000	RUB	https://hh.ru/
587	Продавец-консультант бельгийских ковров	https://hh.ru/vacancy/42853480?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		55000	RUB	https://hh.ru/
588	Продавец-консультант	https://hh.ru/vacancy/42960312?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		27000	RUB	https://hh.ru/
589	Продавец-кассир (свободный график)	https://hh.ru/vacancy/42833473?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		28500	RUB	https://hh.ru/
590	Продавец-кассир	https://hh.ru/vacancy/42673621?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		20000	RUB	https://hh.ru/
591	Продавец-консультант	https://hh.ru/vacancy/42881278?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	45000	80000	RUB	https://hh.ru/
592	Продавец-консультант	https://hh.ru/vacancy/42783157?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	50000	90000	RUB	https://hh.ru/
593	Продавец-универсал	https://hh.ru/vacancy/34620473?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
594	Продавец-консультант	https://hh.ru/vacancy/42852701?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	20000	40000	RUB	https://hh.ru/
595	Продавец-консультант-кассир	https://hh.ru/vacancy/42542473?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	60000	RUB	https://hh.ru/
596	Продавец-консультант в ЭкоМаркет	https://hh.ru/vacancy/42609865?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
597	Продавец-кассир	https://hh.ru/vacancy/42948246?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
598	Продавец-кассир	https://hh.ru/vacancy/42971800?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
599	Продавец шинного центра	https://hh.ru/vacancy/42984600?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
600	Продавец-консультант	https://hh.ru/vacancy/37289600?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	50000	70000	RUB	https://hh.ru/
601	Продавец-консультант	https://hh.ru/vacancy/42978336?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	55000	RUB	https://hh.ru/
602	Продавец-консультант	https://hh.ru/vacancy/42674817?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	50000	RUB	https://hh.ru/
603	Продавец-консультант	https://hh.ru/vacancy/42715547?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	22000	30000	RUB	https://hh.ru/
604	Продавец-кассир	https://hh.ru/vacancy/41939540?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
605	Продавец-консультант	https://hh.ru/vacancy/42549909?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		3000000		https://hh.ru/
606	Продавец-консультант	https://hh.ru/vacancy/42773152?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	45000	RUB	https://hh.ru/
607	Продавец-кассир (Закамск)	https://hh.ru/vacancy/42944284?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		23000	RUB	https://hh.ru/
608	Продавец-консультант	https://hh.ru/vacancy/42898810?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
609	Продавец	https://hh.ru/vacancy/42957573?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	1200	1400	RUB	https://hh.ru/
610	Продавец-универсал	https://hh.ru/vacancy/32753421?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		32000	RUB	https://hh.ru/
611	Продавец-универсал (частичная занятость)	https://hh.ru/vacancy/39945775?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
612	Продавец-консультант	https://hh.ru/vacancy/42547852?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	21000	42000	RUB	https://hh.ru/
613	Продавец-универсал	https://hh.ru/vacancy/34525724?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		34000	RUB	https://hh.ru/
614	Продавец-консультант (ТЦ Карнавал, г. Чехов)	https://hh.ru/vacancy/42917942?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
615	Продавец-кассир	https://hh.ru/vacancy/39820729?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		22500	RUB	https://hh.ru/
616	Продавец	https://hh.ru/vacancy/42434707?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
617	Продавец-кассир	https://hh.ru/vacancy/42667298?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
618	Продавец-консультант	https://hh.ru/vacancy/42760996?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		29000	RUB	https://hh.ru/
619	Продавец кулинарии	https://hh.ru/vacancy/42855948?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	55000	RUB	https://hh.ru/
620	Продавец-консультант	https://hh.ru/vacancy/42567531?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
621	Продавец-кассир в кофейню	https://hh.ru/vacancy/42947925?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	144000	179200		https://hh.ru/
622	Продавец-бармен	https://hh.ru/vacancy/42959153?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	22500	30000	RUB	https://hh.ru/
623	Продавец-кассир	https://hh.ru/vacancy/36007527?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	28000	34000	RUB	https://hh.ru/
624	Продавец-консультант	https://hh.ru/vacancy/42592617?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		50000	RUB	https://hh.ru/
625	Продавец-консультант	https://hh.ru/vacancy/42550797?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
626	Продавец	https://hh.ru/vacancy/42910668?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	32000	37000	RUB	https://hh.ru/
627	Кассир-продавец	https://hh.ru/vacancy/41736962?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		37000	RUB	https://hh.ru/
628	Продавец-консультант	https://hh.ru/vacancy/42326271?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	35000	RUB	https://hh.ru/
629	Продавец-кассир	https://hh.ru/vacancy/42650263?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	60000	RUB	https://hh.ru/
630	Продавец-консультант	https://hh.ru/vacancy/42407552?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	23000	30000	RUB	https://hh.ru/
631	Продавец-консультант в фирменный магазин, г. Пятигорск	https://hh.ru/vacancy/42695831?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
632	Продавец-кассир	https://hh.ru/vacancy/41012518?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	38000	RUB	https://hh.ru/
633	Продавец-фасовщик	https://hh.ru/vacancy/42326004?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
634	Продавец-консультант (ТД Максим)	https://hh.ru/vacancy/42424012?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	47000	94000	RUB	https://hh.ru/
635	Продавец	https://hh.ru/vacancy/42915080?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	19000	33000	RUB	https://hh.ru/
636	Продавец-кассир	https://hh.ru/vacancy/42719052?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	100000	200000		https://hh.ru/
637	Продавец-кассир (г. Видное)	https://hh.ru/vacancy/38994770?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		34000	RUB	https://hh.ru/
638	Продавец-консультант	https://hh.ru/vacancy/42507133?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		1000		https://hh.ru/
639	Продавец-консультант	https://hh.ru/vacancy/42613440?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	60000	RUB	https://hh.ru/
640	Продавец	https://hh.ru/vacancy/42973556?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		12000	RUB	https://hh.ru/
641	Продавец-консультант	https://hh.ru/vacancy/42792230?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	45000	RUB	https://hh.ru/
642	Продавец-консультант	https://hh.ru/vacancy/42760004?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	30000	RUB	https://hh.ru/
643	Продавец-кассир	https://hh.ru/vacancy/42932664?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
644	Продавець непродовольчих товарів (вул. Хотинська, 10-А)	https://hh.ru/vacancy/42522457?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
645	Продавец-консультант	https://hh.ru/vacancy/42495149?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	50000	RUB	https://hh.ru/
646	"Продавец-кассир ""Лавка Пекаря"""	https://hh.ru/vacancy/42855394?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
647	Продавец	https://hh.ru/vacancy/42934644?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
648	Продавец-универсал	https://hh.ru/vacancy/42909098?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
649	"Продавец в фирменный магазин ""Фанагория"", г Санкт-Петербург, м Автово"	https://hh.ru/vacancy/42575795?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
650	"Продавец-кассир (ул. 9 Мая, 3 , Гипермаркет ""ОФИСМАГ"")"	https://hh.ru/vacancy/42927030?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	37100	41350	RUB	https://hh.ru/
651	Продавец-кассир в магазин сувениров и подарков	https://hh.ru/vacancy/42424006?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
652	Продавец-консультант	https://hh.ru/vacancy/42439443?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
653	Продавец-кассир	https://hh.ru/vacancy/42741436?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	20000	30000	RUB	https://hh.ru/
654	"Продавец-кассир ТРЦ ""Макси"""	https://hh.ru/vacancy/42892540?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	23000	26400	RUB	https://hh.ru/
655	Продавец в пекарню	https://hh.ru/vacancy/42936286?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	40000	RUB	https://hh.ru/
656	Продавец-консультант	https://hh.ru/vacancy/42832011?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	23000	35000	RUB	https://hh.ru/
